Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Rider Fare Acceptance Rate,Driver Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Driver Cancellation Rate,User Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km)
"Pulikeshinagar","11,31,155","10,96,676","9,23,708","5,41,704","5,36,749","3,56,970","97.0%","84.2%","58.6%","99.1%","1,79,653","33.5%","19.9%","13.4%","31.6%","₹4,15,30,304","5.99","₹116.34","21,39,072"
"Ulsoor","15,22,626","14,48,321","13,00,199","5,86,827","5,80,888","3,51,878","95.1%","89.8%","45.1%","99.0%","2,28,884","39.4%","24.3%","15.0%","23.1%","₹4,95,08,620","7.45","₹140.70","26,19,913"
"Hennur","11,58,513","11,28,034","8,86,617","5,48,686","5,42,361","3,50,120","97.4%","78.6%","61.9%","98.8%","1,92,133","35.4%","21.6%","13.6%","30.2%","₹4,80,52,741","7.43","₹137.25","26,01,170"
"Kalkere","14,50,871","13,95,388","11,73,159","5,38,212","5,33,089","3,48,320","96.2%","84.1%","45.9%","99.0%","1,84,656","34.6%","23.2%","11.3%","24.0%","₹5,57,09,319","8.75","₹159.94","30,48,245"
"Belathur","14,36,630","13,89,950","10,97,322","5,55,177","5,49,856","3,45,165","96.8%","78.9%","50.6%","99.0%","2,04,569","37.2%","23.5%","13.6%","24.0%","₹5,60,53,762","8.85","₹162.40","30,55,837"
"Shakambari Nagar","10,18,028","9,95,245","7,66,787","5,08,897","5,01,617","3,41,186","97.8%","77.0%","66.4%","98.6%","1,60,324","32.0%","18.1%","13.8%","33.5%","₹4,01,44,323","6.25","₹117.66","21,30,847"
"HSR - Singasandra","14,80,692","14,12,927","11,92,948","5,79,141","5,70,306","3,30,971","95.4%","84.4%","48.5%","98.5%","2,39,223","41.9%","25.4%","16.4%","22.4%","₹4,90,05,197","7.99","₹148.06","26,45,705"
"AECS Layout","17,49,337","16,64,213","14,42,490","5,54,821","5,48,896","3,27,204","95.1%","86.7%","38.5%","98.9%","2,21,561","40.4%","25.6%","14.6%","18.7%","₹5,33,82,754","8.69","₹163.15","28,43,970"
"C V Raman Nagar","13,30,270","12,72,727","10,67,949","5,30,752","5,25,475","3,26,671","95.7%","83.9%","49.7%","99.0%","1,98,703","37.8%","24.2%","13.5%","24.6%","₹4,56,70,694","7.47","₹139.81","24,41,018"
"Dodda Nekkundi","15,25,394","14,51,172","12,38,282","5,37,224","5,31,190","3,24,385","95.1%","85.3%","43.4%","98.9%","2,06,687","38.9%","24.5%","14.2%","21.3%","₹5,40,62,794","9.06","₹166.66","29,39,259"
"Mahadevapura","14,00,421","13,35,681","11,30,692","5,18,510","5,13,486","3,17,414","95.4%","84.7%","45.9%","99.0%","1,95,971","38.2%","24.8%","13.3%","22.7%","₹4,82,85,879","8.13","₹152.12","25,81,024"
"Jnana Bharathi","7,91,319","7,81,734","5,54,281","4,44,695","4,38,818","3,03,604","98.8%","70.9%","80.2%","98.7%","1,35,120","30.8%","18.3%","12.4%","38.4%","₹3,93,14,202","7.18","₹129.49","21,78,875"
"Subramanyapura","8,94,200","8,75,115","6,76,594","4,46,812","4,40,094","3,02,614","97.9%","77.3%","66.0%","98.5%","1,37,393","31.2%","20.6%","10.5%","33.8%","₹4,23,85,132","7.78","₹140.06","23,53,641"
"Byatarayanapura","8,91,249","8,70,868","6,70,240","4,60,644","4,54,786","3,00,591","97.7%","77.0%","68.7%","98.7%","1,54,109","33.9%","21.2%","12.5%","33.7%","₹4,75,24,236","8.73","₹158.10","26,24,418"
"Vishveshwara Puram","9,89,717","9,64,120","7,42,530","4,70,108","4,64,423","2,98,867","97.4%","77.0%","63.3%","98.8%","1,65,462","35.6%","20.4%","15.1%","30.2%","₹3,57,56,474","6.41","₹119.64","19,14,659"
"Babusab Palya","11,09,795","10,68,908","9,00,817","4,70,084","4,64,548","2,98,068","96.3%","84.3%","52.2%","98.8%","1,66,381","35.8%","23.2%","12.4%","26.9%","₹4,13,20,282","7.42","₹138.63","22,12,743"
"Kalena Agrahara","11,71,800","11,23,459","9,27,462","4,55,468","4,49,212","2,92,629","95.9%","82.6%","49.1%","98.6%","1,56,499","34.8%","21.9%","12.8%","25.0%","₹5,05,83,774","9.64","₹172.86","28,21,446"
"BTM Layout","13,83,552","13,22,906","11,23,602","5,04,478","4,97,052","2,89,354","95.6%","84.9%","44.9%","98.5%","2,07,608","41.8%","25.5%","16.1%","20.9%","₹3,85,49,287","7.04","₹133.23","20,36,827"
"Sarakki","8,30,093","8,13,200","6,50,891","4,44,246","4,37,813","2,87,937","98.0%","80.0%","68.3%","98.6%","1,49,780","34.2%","19.5%","14.6%","34.7%","₹3,43,19,249","6.24","₹119.19","17,96,957"
"Hulimavu","10,10,099","9,78,401","7,95,032","4,46,394","4,40,252","2,85,485","96.9%","81.3%","56.1%","98.6%","1,54,674","35.1%","20.5%","14.4%","28.3%","₹4,09,71,638","7.79","₹143.52","22,23,785"
"Jogupalya","9,38,290","9,02,420","7,91,406","4,26,844","4,21,846","2,81,264","96.2%","87.7%","53.9%","98.8%","1,40,495","33.3%","20.1%","13.0%","30.0%","₹3,53,48,600","6.55","₹125.68","18,43,196"
"Rajarajeshwari Nagar","7,08,636","7,00,290","4,92,694","4,02,470","3,95,861","2,80,274","98.8%","70.4%","81.7%","98.4%","1,15,507","29.2%","18.1%","10.9%","39.6%","₹4,01,08,300","8.06","₹143.10","22,58,104"
"N S Palya","10,68,393","10,26,920","8,66,894","4,40,922","4,34,241","2,79,749","96.1%","84.4%","50.9%","98.5%","1,54,400","35.6%","20.6%","14.8%","26.2%","₹3,74,55,143","7.14","₹133.89","19,97,385"
"Ibluru","11,95,368","11,31,972","10,04,433","4,46,585","4,40,481","2,75,486","94.7%","88.7%","44.5%","98.6%","1,64,903","37.4%","22.1%","15.2%","23.0%","₹4,26,96,317","8.36","₹154.99","23,03,358"
"Kogilu","8,15,822","7,99,132","5,52,521","4,10,022","4,02,198","2,69,179","98.0%","69.1%","74.2%","98.1%","1,32,949","33.1%","19.7%","13.2%","33.0%","₹5,13,95,203","10.98","₹190.93","29,54,423"
"Hemmigepura","8,29,971","8,11,935","5,62,398","4,02,505","3,97,417","2,68,230","97.8%","69.3%","71.6%","98.7%","1,29,116","32.5%","19.6%","12.7%","32.3%","₹3,90,21,266","8.16","₹145.48","21,87,721"
"Rupenaagrahara","11,54,753","11,05,512","9,34,486","4,48,029","4,41,381","2,66,238","95.7%","84.5%","47.9%","98.5%","1,75,042","39.7%","23.9%","15.6%","23.1%","₹4,10,37,315","8.38","₹154.14","22,30,016"
"A Narayanapura","11,53,797","11,09,890","8,83,927","4,38,967","4,34,572","2,52,472","96.2%","79.6%","49.7%","99.0%","1,82,000","41.9%","27.4%","14.3%","21.9%","₹3,89,95,401","7.49","₹154.45","18,90,906"
"Lingarajapura","7,17,130","6,95,224","5,94,931","3,74,306","3,70,599","2,51,720","96.9%","85.6%","62.9%","99.0%","1,18,813","32.1%","20.0%","12.0%","35.1%","₹3,05,56,688","6.36","₹121.39","16,01,567"
"Konena Agrahara","9,75,967","9,32,078","8,19,566","3,91,007","3,86,944","2,49,949","95.5%","87.9%","47.7%","99.0%","1,36,917","35.4%","21.8%","13.4%","25.6%","₹3,72,39,910","7","₹148.99","19,98,433"
"Kadu Malleshwara","5,98,967","5,89,491","4,53,738","3,50,976","3,46,332","2,49,721","98.4%","77.0%","77.4%","98.7%","96,556","27.9%","15.8%","12.0%","41.7%","₹3,23,40,396","7.13","₹129.51","17,81,303"
"Konanakunte","7,39,911","7,26,436","5,45,150","3,86,180","3,80,579","2,47,642","98.2%","75.0%","70.8%","98.5%","1,32,875","34.9%","21.3%","13.5%","33.5%","₹3,17,41,469","6.87","₹128.17","17,01,463"
"Subhash Nagar","8,26,526","8,11,379","5,51,196","4,02,533","3,97,920","2,44,249","98.2%","67.9%","73.0%","98.9%","1,53,616","38.6%","22.4%","16.0%","29.6%","₹3,93,23,085","8.76","₹160","21,39,491"
"Sunkenahalli","6,39,137","6,25,957","4,90,200","3,52,297","3,47,592","2,40,678","97.9%","78.3%","71.9%","98.7%","1,06,867","30.7%","17.3%","13.3%","37.7%","₹2,88,29,889","6.49","₹119.79","15,63,046"
